"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5663220","RHO GTPases Activate Formins","45/1152","138/10616",3.86445357597724e-12,4.4265559143012e-10,3.67955149100225e-10,"SPC25/CENPF/CENPE/PLK1/AURKB/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/CDC20/KNTC1/SPC24/CKAP5/ACTG1/ACTB/ZWINT/NUF2/CDCA8/KIF18A/DIAPH1/PPP1CC/BIRC5/CENPU/PPP2R5B/ERCC6L/SCAI/SPDL1/CENPM/SKA1/DIAPH3/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/SRF/KIF2A/NUP85",45
"R-HSA-69206","G1/S Transition","43/1152","131/10616",9.10731145533596e-12,9.56267702810276e-10,7.94892534917481e-10,"RRM2/CDK1/MCM10/CCNA2/CDK2/MCM5/CCNB1/CDC7/CDC25A/TYMS/PPP2R1B/TK1/GMNN/RPA1/PSMA4/SKP2/CCND1/RBL1/LIN37/MCM4/LIN9/CCNE2/E2F1/MAX/DBF4/CABLES1/MCM2/CDC45/ORC1/WEE1/CDK7/TFDP2/PCNA/HDAC1/CKS1B/POLA1/POLE2/MCM7/CCNE1/CDT1/PSME3/MCM8/CDC6",43
"R-HSA-1538133","G0 and Early G1","17/1152","27/10616",1.04975716243257e-10,1.01745694205002e-08,8.45755770542836e-09,"CDK1/MYBL2/TOP2A/CCNA2/CDK2/CDC25A/RBL1/LIN37/LIN9/CCNE2/E2F1/MAX/TFDP2/PCNA/HDAC1/CCNE1/CDC6",17
"R-HSA-69205","G1/S-Specific Transcription","17/1152","28/10616",2.40261159393229e-10,2.16235043453906e-08,1.79744250824258e-08,"RRM2/CDK1/TYMS/TK1/RBL1/LIN37/LIN9/E2F1/CDC45/ORC1/TFDP2/PCNA/HDAC1/POLA1/CCNE1/CDT1/CDC6",17
"R-HSA-69481","G2/M Checkpoints","47/1152","167/10616",3.96963691686592e-10,3.33449501016737e-08,2.7717815665134e-08,"CDK1/MCM10/BARD1/DNA2/H2BC14/GTSE1/CDK2/BRIP1/BLM/MCM5/CCNB1/CDC7/CDC25A/CCNB2/CHEK2/RPA1/PSMA4/H2AX/MCM4/ATM/RNF8/H2BC15/DBF4/MCM2/CDC45/CHEK1/RFC3/ORC1/YWHAE/H2BC10/YWHAQ/WEE1/H4C3/PKMYT1/CLSPN/H2BC4/RBBP8/YWHAZ/MCM7/H2BC13/YWHAH/YWHAB/PSME3/MCM8/CDC6/BRCC3/H4C5",47
"R-HSA-68882","Mitotic Anaphase","51/1152","199/10616",2.63730833872896e-09,2.07688031674906e-07,1.72639591910218e-07,"SPC25/CENPF/CENPE/PLK1/AURKB/LMNB1/ESPL1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/PSMA4/CDC20/KNTC1/SPC24/CKAP5/UBE2C/ZWINT/PDS5A/NUF2/CDCA8/PDS5B/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/PTTG1/ERCC6L/TMPO/LMNA/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/EMD/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85/CDC26/PSME3",51
"R-HSA-2555396","Mitotic Metaphase and Anaphase","51/1152","200/10616",3.17653328224185e-09,2.35437172683808e-07,1.95705920484869e-07,"SPC25/CENPF/CENPE/PLK1/AURKB/LMNB1/ESPL1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/PSMA4/CDC20/KNTC1/SPC24/CKAP5/UBE2C/ZWINT/PDS5A/NUF2/CDCA8/PDS5B/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/PTTG1/ERCC6L/TMPO/LMNA/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/EMD/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85/CDC26/PSME3",51
"R-HSA-69242","S Phase","44/1152","161/10616",3.93558058831152e-09,2.75490641181807e-07,2.29000157039179e-07,"DNA2/CCNA2/CDK2/GINS1/MCM5/CDC25A/CDC25B/RPA1/GINS2/PSMA4/SKP2/CCND1/UBE2C/PDS5A/ESCO2/LIN37/PDS5B/MCM4/LIN9/ESCO1/CCNE2/E2F1/MAX/CABLES1/MCM2/CDC45/RFC3/ORC1/WEE1/CDK7/TFDP2/PCNA/CKS1B/POLA1/POLE2/GINS4/MCM7/CCNE1/CDT1/POLD2/CDC26/PSME3/MCM8/CDC6",44
"R-HSA-3700989","Transcriptional Regulation by TP53","77/1152","365/10616",4.93447207859192e-09,3.27233411527675e-07,2.72011064720164e-07,"CDK1/AURKB/BARD1/E2F8/DNA2/FANCI/CCNA2/CARM1/CDK2/BRIP1/BLM/CCNB1/CHEK2/PPP2R1B/FANCD2/GLS/RPA1/BID/NELFCD/RBL1/SUPT16H/JMY/MOV10/AURKA/ERCC2/ATM/BIRC5/TPX2/CASP6/STEAP3/CCNE2/BNIP3L/PRDX1/CCNT1/CASP2/E2F1/PIP4K2B/NDUFA4/CHEK1/CNOT2/TAF13/RFC3/YWHAE/TXN/EHMT2/YWHAQ/COX7A2L/GPI/CDK7/TFDP2/PCNA/POLR2L/PRDX2/HDAC1/CYCS/LAMTOR3/PRKAB2/POLR2C/RBBP8/YWHAZ/HIPK2/RRAGC/BRD7/MAPK14/TP53BP2/PLK2/YWHAH/ZNF385A/BCL6/CCNE1/DDB2/TAF7/YWHAB/CSNK2A1/RRM2B/COX8A/TAF15",77
"R-HSA-2559583","Cellular Senescence","49/1152","193/10616",7.56565044936427e-09,4.60561050184076e-07,3.82838968198125e-07,"H1-5/LMNB1/H2BC14/CCNA2/CDK2/H1-2/H1-4/H2AC20/UBE2C/H2AX/H3C7/KDM6B/MOV10/ATM/H2AC8/SUZ12/H3C2/CCNE2/H2BC15/E2F1/TERF2IP/H3C13/H3C11/E2F2/CDK6/TXN/EHMT2/E2F3/EZH2/H2BC10/H2AC4/ID1/RELA/TFDP2/H4C3/RPS6KA1/CBX6/H2BC4/MAPK9/MAPK14/TERF1/H2BC13/H3-3A/CCNE1/CEBPB/CDC26/MAPKAPK2/MAP3K5/H4C5",49
"R-HSA-68962","Activation of the pre-replicative complex","17/1152","33/10616",7.67601750306793e-09,4.60561050184076e-07,3.82838968198125e-07,"MCM10/CDK2/MCM5/CDC7/GMNN/RPA1/MCM4/DBF4/MCM2/CDC45/ORC1/POLA1/POLE2/MCM7/CDT1/MCM8/CDC6",17
"R-HSA-68875","Mitotic Prophase","39/1152","141/10616",2.09689096767588e-08,1.20094664512346e-06,9.98280628151914e-07,"CDK1/PLK1/LMNB1/H2BC14/CCNB1/CCNB2/PPP2R1B/H2AC20/BLZF1/H2AX/H3C7/H2AC8/NCAPD3/H3C2/H2BC15/TMPO/LMNA/H3C13/H3C11/H2BC10/MCPH1/H2AC4/SMC2/SET/RAB2A/H4C3/NUP155/EMD/H2BC4/NUP188/H2BC13/H3-3A/LPIN2/MASTL/NUP85/NUP50/CNEP1R1/NEK6/H4C5",39
"R-HSA-73894","DNA Repair","70/1152","331/10616",2.26433685251222e-08,1.24046279746322e-06,1.03112822345522e-06,"BARD1/DNA2/TIMELESS/H2BC14/FANCI/CCNA2/CDK2/BRIP1/KPNA2/BLM/RAD51AP1/DTL/CHEK2/FANCD2/RAD51/RPA1/POLQ/H2AC20/ACTB/H2AX/PRKDC/FANCA/GEN1/ERCC2/ATM/RNF8/H2AC8/UBE2T/H2BC15/TERF2IP/TIPIN/FANCL/CHD1L/CHEK1/NEIL3/RFC3/ASCC3/UNG/CETN2/H2BC10/H2AC4/PCLAF/XRCC2/CDK7/PCNA/H4C3/POLR2L/SUMO2/DCLRE1C/CLSPN/H2BC4/POLR2C/RBBP8/POLE2/POLB/PIAS3/TERF1/PIAS1/XPC/H2BC13/RAD18/FANCE/FANCB/SPIDR/COPS6/DDB2/POLI/POLD2/BRCC3/H4C5",70
"R-HSA-2467813","Separation of Sister Chromatids","47/1152","188/10616",2.57898870695865e-08,1.35396907115329e-06,1.12547972079994e-06,"SPC25/CENPF/CENPE/PLK1/AURKB/ESPL1/NDC80/KNL1/CENPI/PPP2R5D/BUB1/INCENP/CENPA/PPP2R1B/PSMA4/CDC20/KNTC1/SPC24/CKAP5/UBE2C/ZWINT/PDS5A/NUF2/CDCA8/PDS5B/KIF18A/PPP1CC/BIRC5/CENPU/PPP2R5B/PTTG1/ERCC6L/SPDL1/CENPM/SKA1/CENPQ/RCC2/CENPH/ZWILCH/MAD2L1/MAPRE1/CENPN/SKA2/KIF2A/NUP85/CDC26/PSME3",47
"R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","10/1152","13/10616",4.59210710254162e-08,2.31442197968098e-06,1.92385118611744e-06,"CDK1/CCNB1/CHEK2/CHEK1/YWHAE/YWHAQ/WEE1/YWHAZ/YWHAH/YWHAB",10
"R-HSA-156711","Polo-like kinase mediated events","11/1152","16/10616",6.12348455598668e-08,2.96753482328585e-06,2.46674782720921e-06,"CENPF/FOXM1/MYBL2/PLK1/CCNB1/CDC25A/CCNB2/LIN37/LIN9/WEE1/PKMYT1",11
"R-HSA-176187","Activation of ATR in response to replication stress","17/1152","37/10616",6.84639759847555e-08,3.19498554595526e-06,2.65581505281995e-06,"MCM10/CDK2/MCM5/CDC7/CDC25A/RPA1/MCM4/DBF4/MCM2/CDC45/CHEK1/RFC3/ORC1/CLSPN/MCM7/MCM8/CDC6",17
"R-HSA-69306","DNA Replication","35/1152","127/10616",1.220930080472e-07,5.49418536212401e-06,4.56701289499865e-06,"MCM10/DNA2/CCNA2/CDK2/GINS1/MCM5/CDC7/GMNN/RPA1/GINS2/PSMA4/SKP2/UBE2C/MCM4/CCNE2/E2F1/DBF4/MCM2/CDC45/RFC3/E2F2/ORC1/E2F3/PCNA/POLA1/POLE2/GINS4/MCM7/CCNE1/CDT1/POLD2/CDC26/PSME3/MCM8/CDC6",35
"R-HSA-6811442","Intra-Golgi and retrograde Golgi-to-ER traffic","47/1152","201/10616",2.27957762697589e-07,9.90437175858488e-06,8.23295730976772e-06,"CENPE/COG6/KIF20A/KIF4A/GALNT2/KIF23/COG1/BET1L/KIFC1/GOLGA1/ARF4/COG3/KIF18B/KIF20B/VAMP4/YKT6/GOSR1/ARFGAP3/KIF18A/KDELR3/COG5/COPA/NAPA/CAPZB/TRIP11/PAFAH1B3/GOLGA4/COPG2/GOSR2/GBF1/STX5/KIF16B/RAB3GAP2/RINT1/KIF1C/RAB6A/GALNT1/GCC2/CYTH3/CAPZA2/MAN2A1/NAA35/KIF2A/BICD2/BICD1/RAB18/ARFIP2",47
"R-HSA-69190","DNA strand elongation","15/1152","32/10616",2.94864774382079e-07,1.23843205240473e-05,1.02944017722866e-05,"DNA2/GINS1/MCM5/RPA1/GINS2/MCM4/MCM2/CDC45/RFC3/PCNA/POLA1/GINS4/MCM7/POLD2/MCM8",15
"R-HSA-176974","Unwinding of DNA","9/1152","12/10616",3.2880853711169e-07,1.33644760245397e-05,1.11091509142999e-05,"GINS1/MCM5/GINS2/MCM4/MCM2/CDC45/GINS4/MCM7/MCM8",9
"R-HSA-69473","G2/M DNA damage checkpoint","28/1152","94/10616",3.88924817617311e-07,1.53139146936816e-05,1.27296116292508e-05,"CDK1/BARD1/DNA2/H2BC14/BRIP1/BLM/CCNB1/CHEK2/RPA1/H2AX/ATM/RNF8/H2BC15/CHEK1/RFC3/YWHAE/H2BC10/YWHAQ/WEE1/H4C3/H2BC4/RBBP8/YWHAZ/H2BC13/YWHAH/YWHAB/BRCC3/H4C5",28
"R-HSA-69273","Cyclin A/B1/B2 associated events during G2/M transition","13/1152","25/10616",4.02780986114806e-07,1.5378910378929e-05,1.2783638953245e-05,"CDK1/FOXM1/PLK1/CCNA2/CDK2/CCNB1/CDC25A/CCNB2/CDC25B/PPP2R1B/WEE1/CDK7/PKMYT1",13
"R-HSA-1362277","Transcription of E2F targets under negative control by DREAM complex","11/1152","19/10616",7.77063702362845e-07,2.8797066616976e-05,2.39374112647378e-05,"TOP2A/CDC25A/RBL1/LIN37/LIN9/E2F1/MAX/TFDP2/PCNA/HDAC1/CDC6",11
"R-HSA-381119","Unfolded Protein Response (UPR)","27/1152","94/10616",1.38349400221961e-06,4.98057840799061e-05,4.14007979611584e-05,"DDIT3/EXOSC9/HERPUD1/WIPI1/SERP1/CREBRF/FKBP14/KDELR3/SYVN1/TSPYL2/PPP2R5B/GOSR2/LMNA/ATF6/ATF3/GFPT1/ADD1/SRPRA/CXXC1/ERN1/ATF4/WFS1/EXOSC1/CEBPG/CREB3L2/CEBPB/EIF2S3",27
"R-HSA-2299718","Condensation of Prophase Chromosomes","23/1152","73/10616",1.42669029384046e-06,4.99341602844159e-05,4.15075100108554e-05,"CDK1/PLK1/H2BC14/CCNB1/H2AC20/H2AX/H3C7/H2AC8/NCAPD3/H3C2/H2BC15/H3C13/H3C11/H2BC10/MCPH1/H2AC4/SMC2/SET/H4C3/H2BC4/H2BC13/H3-3A/H4C5",23
"R-HSA-2514853","Condensation of Prometaphase Chromosomes","8/1152","11/10616",2.29542044076916e-06,7.81683717667335e-05,6.49770508837926e-05,"CDK1/NCAPD2/CCNB1/NCAPH/CCNB2/NCAPG/SMC2/CSNK2A1",8
"R-HSA-5693567","HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)","33/1152","131/10616",2.54821479013802e-06,8.37030548813363e-05,6.95777273240849e-05,"BARD1/DNA2/TIMELESS/H2BC14/CCNA2/CDK2/BRIP1/BLM/RAD51AP1/RAD51/RPA1/H2AX/GEN1/ATM/RNF8/H2BC15/TIPIN/CHEK1/RFC3/H2BC10/XRCC2/PCNA/H4C3/SUMO2/CLSPN/H2BC4/RBBP8/POLE2/H2BC13/SPIDR/POLD2/BRCC3/H4C5",33
"R-HSA-5693538","Homology Directed Repair","34/1152","137/10616",2.59080884156517e-06,8.37030548813363e-05,6.95777273240849e-05,"BARD1/DNA2/TIMELESS/H2BC14/CCNA2/CDK2/BRIP1/BLM/RAD51AP1/RAD51/RPA1/POLQ/H2AX/GEN1/ATM/RNF8/H2BC15/TIPIN/CHEK1/RFC3/H2BC10/XRCC2/PCNA/H4C3/SUMO2/CLSPN/H2BC4/RBBP8/POLE2/H2BC13/SPIDR/POLD2/BRCC3/H4C5",34
"R-HSA-75153","Apoptotic execution phase","18/1152","52/10616",4.42876232743034e-06,0.000139506013314056,0.000115963645152452,"H1-5/LMNB1/H1-2/H1-4/HMGB2/SPTAN1/CASP6/LMNA/CTNNB1/BCAP31/ADD1/DSG2/DFFA/CLSPN/FNTA/ROCK1/DNM1L/PRKCD",18
"R-HSA-73864","RNA Polymerase I Transcription","29/1152","111/10616",4.70500105753446e-06,0.000142874815110992,0.000118763944056338,"H2BC14/H2AC20/H2AX/H3C7/KAT2B/ERCC2/H2AC8/KAT2A/H3C2/H2BC15/H3C13/POLR1A/H3C11/EHMT2/H2BC10/H2AC4/CDK7/H4C3/POLR2L/HDAC1/TWISTNB/POLR1E/H2BC4/H2BC13/H3-3A/CAVIN1/TAF1B/MTA1/H4C5",29
"R-HSA-5693532","DNA Double-Strand Break Repair","38/1152","165/10616",4.76249383703307e-06,0.000142874815110992,0.000118763944056338,"BARD1/DNA2/TIMELESS/H2BC14/CCNA2/CDK2/BRIP1/KPNA2/BLM/RAD51AP1/CHEK2/RAD51/RPA1/POLQ/H2AX/PRKDC/GEN1/ATM/RNF8/H2BC15/TIPIN/CHEK1/RFC3/H2BC10/XRCC2/PCNA/H4C3/SUMO2/DCLRE1C/CLSPN/H2BC4/RBBP8/POLE2/H2BC13/SPIDR/POLD2/BRCC3/H4C5",38
"R-HSA-2559580","Oxidative Stress Induced Senescence","31/1152","123/10616",5.03917078984504e-06,0.000147659423144296,0.000122741124501733,"H2BC14/H2AC20/H2AX/H3C7/KDM6B/MOV10/H2AC8/SUZ12/H3C2/H2BC15/E2F1/H3C13/H3C11/E2F2/CDK6/TXN/E2F3/EZH2/H2BC10/H2AC4/TFDP2/H4C3/CBX6/H2BC4/MAPK9/MAPK14/H2BC13/H3-3A/MAPKAPK2/MAP3K5/H4C5",31
"R-HSA-212165","Epigenetic regulation of gene expression","35/1152","148/10616",5.99419584147955e-06,0.000171651971824187,0.000142684805317516,"H2BC14/UHRF1/H2AC20/MTF2/ACTB/H2AX/H3C7/KAT2B/ERCC2/H2AC8/DNMT3B/SUZ12/KAT2A/H3C2/H2BC15/H3C13/POLR1A/H3C11/EHMT2/EZH2/H2BC10/H2AC4/CDK7/H4C3/POLR2L/HDAC1/TWISTNB/SUV39H1/POLR1E/H2BC4/H2BC13/H3-3A/TAF1B/MTA1/H4C5",35
"R-HSA-3214858","RMTs methylate histone arginines","23/1152","79/10616",6.43649743005981e-06,0.000180221928041675,0.000149808536676246,"CARM1/H2AC15/H2AC13/SMARCC2/SMARCA4/CCND1/H2AC20/H2AX/H3C7/H2AC21/H2AC8/H3C2/H3C13/H2AC17/H2AC11/SMARCD2/H3C11/ARID1A/H2AC4/H4C3/SMARCC1/PRMT6/H4C5",23
"R-HSA-912446","Meiotic recombination","24/1152","85/10616",7.31936102173525e-06,0.000200486845377966,0.000166653643401066,"H2BC14/MND1/CDK2/BLM/RAD51/RPA1/H2AC20/H2AX/H3C7/ATM/H2AC8/H3C2/H2BC15/H3C13/H3C11/H2BC10/H2AC4/H4C3/H2BC4/RBBP8/H2BC13/H3-3A/MLH3/H4C5",24
"R-HSA-73886","Chromosome Maintenance","28/1152","108/10616",8.01526260856858e-06,0.000214877252910562,0.000178615594524652,"DNA2/H2BC14/KNL1/CENPI/CENPA/RPA1/H2AC20/H2AX/H2AC8/CENPU/H2BC15/TERF2IP/CENPM/RFC3/CENPQ/H2BC10/H2AC4/PCNA/H4C3/CENPH/POLA1/H2BC4/POLE2/TERF1/CENPN/H2BC13/POLD2/H4C5",28
"R-HSA-73854","RNA Polymerase I Promoter Clearance","28/1152","109/10616",9.68923886991091e-06,0.000254342520335161,0.000211420892007925,"H2BC14/H2AC20/H2AX/H3C7/KAT2B/ERCC2/H2AC8/KAT2A/H3C2/H2BC15/H3C13/POLR1A/H3C11/EHMT2/H2BC10/H2AC4/CDK7/H4C3/POLR2L/HDAC1/TWISTNB/POLR1E/H2BC4/H2BC13/H3-3A/TAF1B/MTA1/H4C5",28
"R-HSA-1362300","Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1","9/1152","16/10616",1.13919401337845e-05,0.000292935603440172,0.00024350119082955,"CDK1/MYBL2/CCNA2/RBL1/LIN37/LIN9/E2F1/TFDP2/HDAC1",9
